Havg,Hmax,Hmin,Month,Pressure,Snow_Depth,Solar_Rad,Tavg,Tmax,Tmin,Total_Precip
21.79565890429295,16.02812209950534,27.06136724302207,January,6.158765187229092,764.3932949336053,0.8842543349300396,4.089316739208817,5.350398133495516,4.021186966379417,11.3246531222942
20.565391968405297,13.868124048181107,27.060503863375956,February,5.876409598420321,818.4850987011487,1.097204524885439,4.180417590589331,5.675495979104019,4.110544445977334,10.718159217906516
20.992359212321645,13.36457024717734,28.475693972201633,March,5.436980571889476,950.2426872520191,1.3291457410405647,4.73491891905136,6.355343744602713,3.9633949015079413,10.322354521838719
18.613967850850422,12.011283901597054,23.430903248217735,April,4.495008660437914,1046.7412518009112,1.2869424584419764,4.82430446046008,6.748810486803162,4.221790454046085,8.12330335031479
18.03879148336062,13.8865574425739,20.412829577593254,May,3.8907897221926815,900.8115885562677,1.1892474339063772,4.4512076814131545,6.558825635085511,3.3557798371824803,5.150467131674912
16.85788642416675,15.096627598137845,16.782163746059677,June,2.875687081100618,491.7353655355392,1.0030738235577863,4.2521580340034175,5.363826717903055,3.5673799410172453,3.711679227231042
11.814374866081817,13.1893779608836,9.503416827451444,July,2.2207373000894854,85.30661495461189,0.6266216921051385,3.007178198822648,3.220636609887946,3.5696417483356586,1.1406896977351846
11.93801193801791,14.806416491140883,8.87661199806489,August,2.1234212733414943,92.34506927992825,0.6283947940213205,2.6829455966478872,3.1277432258872713,3.0011533795658036,0.8426034922555743
16.503554291768644,19.259016789704543,13.6677446784951,September,3.163032853506747,112.8255249559699,0.7601398649889536,3.846516713218713,4.804418781012467,3.645704535886639,3.688468150362458
19.839510217719116,18.16461627944554,21.286489484092538,October,4.428436140055959,356.20581019849686,0.9050579473655419,4.238864679816876,6.257064968357019,3.4111665517425505,11.659411015808374
19.98217823576069,15.283938786790207,24.306583241001345,November,5.107251058830619,705.3564567841464,0.863155669059817,4.4014969582860735,6.578804001934937,4.3860714347798995,8.81184056327605
21.62091016791174,14.990620946967104,28.260238093519433,December,6.653716224347714,1032.8466880637086,0.8039990427106031,4.403994336519121,5.286882375063622,4.707826824766049,14.32641164358358
